,lat,lon,alt,crs,hac,vac,spd,dst,t
200.0,42.417516,-71.075677,3.650692,1.054688,5.0,4.0,0.0,0.0,1510239294000
201.0,42.417516,-71.075677,3.596615,1.054688,5.0,4.0,0.0,0.0,1510239295000
202.0,42.417516,-71.075677,3.630703,1.054688,5.0,4.0,0.0,0.0,1510239296000
203.0,42.417516,-71.075677,3.51672,1.054688,5.0,4.0,0.0,0.0,1510239297000
204.0,42.417516,-71.075677,3.634121,1.054688,5.0,4.0,0.0,0.0,1510239298000
205.0,42.417516,-71.075677,3.527187,1.054688,5.0,4.0,0.0,0.0,1510239299000
206.0,42.417516,-71.075677,3.477993,1.054688,5.0,4.0,0.0,0.0,1510239300000
207.0,42.417516,-71.075677,3.536861,1.054688,5.0,4.0,0.0,0.0,1510239301000
208.0,42.417516,-71.075677,3.507168,1.054688,5.0,4.0,0.0,0.0,1510239302000
209.0,42.417516,-71.075677,3.636776,1.054688,5.0,4.0,0.0,0.0,1510239303000
210.0,42.417516,-71.075677,3.648952,1.054688,5.0,4.0,0.0,0.0,1510239304000
211.0,42.417516,-71.075677,3.781734,1.054688,5.0,4.0,0.0,0.0,1510239305000
212.0,42.417516,-71.075677,3.842617,1.054688,5.0,4.0,0.0,0.0,1510239306000
213.0,42.417516,-71.075677,3.70126,1.054688,5.0,4.0,0.0,0.0,1510239307000
214.0,42.417516,-71.075677,3.740383,1.054688,5.0,4.0,0.0,0.0,1510239308000
215.0,42.417516,-71.075677,3.6134,1.054688,5.0,4.0,0.0,0.0,1510239309000
216.0,42.417516,-71.075677,3.646389,1.054688,5.0,4.0,0.0,0.0,1510239310000
217.0,42.417513,-71.075677,3.681667,1.054688,5.0,4.0,0.31,0.0,1510239311000
218.0,42.417516,-71.075679,3.717953,358.945312,5.0,4.0,0.36,0.0,1510239312000
219.0,42.41754,-71.075675,3.832729,345.9375,5.0,4.0,2.42,0.0,1510239313000
220.0,42.417565,-71.075688,4.037258,324.140625,5.0,4.0,3.11,0.0,1510239314000
221.0,42.417599,-71.075755,2.686062,306.914062,5.0,4.0,6.44,0.0,1510239315000
222.0,42.417616,-71.07583,2.514156,293.203125,5.0,4.0,7.68,0.0,1510239316000
223.0,42.417644,-71.075923,3.172634,273.867188,5.0,4.0,7.92,0.0,1510239317000
224.0,42.417644,-71.076045,2.962917,270.0,5.0,4.0,9.22,0.0,1510239318000
225.0,42.417654,-71.076166,2.234707,268.945312,5.0,4.0,10.17,0.0,1510239319000
226.0,42.417652,-71.076295,2.983364,268.945312,5.0,4.0,10.83,0.0,1510239320000
227.0,42.417655,-71.076423,2.943569,268.945312,5.0,4.0,10.73,0.0,1510239321000
228.0,42.417653,-71.076554,3.157864,269.296875,5.0,4.0,10.72,0.0,1510239322000
229.0,42.417656,-71.076703,2.726803,270.0,5.0,4.0,11.62,0.0,1510239323000
230.0,42.417657,-71.076847,2.339138,270.0,5.0,4.0,12.01,0.0,1510239324000
231.0,42.417659,-71.076996,1.268856,270.0,5.0,4.0,12.21,0.0,1510239325000
232.0,42.41767,-71.077145,1.627102,271.054688,5.0,4.0,11.7,0.0,1510239326000
233.0,42.417672,-71.077285,1.052029,271.40625,5.0,4.0,11.38,0.0,1510239327000
234.0,42.417668,-71.077415,1.207027,270.351562,5.0,4.0,10.84,0.0,1510239328000
235.0,42.417675,-71.077548,0.940365,270.0,5.0,4.0,10.83,0.0,1510239329000
236.0,42.417673,-71.077682,2.562679,270.351562,5.0,4.0,10.7,0.0,1510239330000
237.0,42.417671,-71.077812,2.476864,270.351562,5.0,4.0,10.69,0.0,1510239331000
238.0,42.417665,-71.077932,3.45834,271.054688,5.0,4.0,10.86,0.0,1510239332000
239.0,42.417662,-71.07806,3.599941,269.296875,5.0,4.0,10.86,0.0,1510239333000
240.0,42.417665,-71.07819,3.550411,269.648438,5.0,4.0,10.57,0.0,1510239334000
241.0,42.417666,-71.07832,3.324551,270.0,5.0,4.0,10.39,0.0,1510239335000
242.0,42.417666,-71.07845,2.6535,269.296875,5.0,4.0,10.29,0.0,1510239336000
243.0,42.417668,-71.078573,2.355953,270.351562,5.0,4.0,9.96,0.0,1510239337000
244.0,42.417667,-71.078698,3.633205,271.054688,5.0,4.0,9.66,0.0,1510239338000
245.0,42.417665,-71.078813,3.316921,271.054688,5.0,4.0,9.22,0.0,1510239339000
246.0,42.417666,-71.078917,4.111599,271.757812,5.0,4.0,8.43,0.0,1510239340000
247.0,42.417664,-71.079014,4.073818,271.757812,5.0,4.0,7.61,0.0,1510239341000
248.0,42.417667,-71.079102,3.153896,271.054688,5.0,4.0,6.72,0.0,1510239342000
249.0,42.417667,-71.079172,3.019497,270.351562,5.0,4.0,5.43,0.0,1510239343000
250.0,42.417664,-71.079224,0.464291,269.296875,5.0,4.0,4.13,0.0,1510239344000
251.0,42.417665,-71.079268,-0.067814,271.757812,5.0,4.0,3.05,0.0,1510239345000
252.0,42.417665,-71.079301,-1.010593,266.484375,5.0,4.0,1.84,0.0,1510239346000
253.0,42.417666,-71.079324,-1.721043,271.40625,5.0,4.0,0.77,0.0,1510239347000
254.0,42.417663,-71.079332,-2.468784,261.210938,5.0,4.0,0.19,0.0,1510239348000
255.0,42.417665,-71.079337,-3.118015,312.890625,5.0,4.0,0.83,0.0,1510239349000
256.0,42.41767,-71.079337,-2.992893,279.84375,5.0,6.0,0.78,0.0,1510239350000
257.0,42.417691,-71.079358,2.34396,271.757812,5.0,4.0,0.78,0.0,1510239351000
258.0,42.417699,-71.079356,2.401608,271.757812,5.0,4.0,0.63,0.0,1510239352000
259.0,42.4177,-71.079356,-3.566441,325.546875,5.0,4.0,0.6,0.0,1510239353000
260.0,42.417701,-71.079354,-3.301487,323.789062,5.0,4.0,0.5,0.0,1510239354000
261.0,42.417709,-71.079347,-3.626774,324.140625,5.0,4.0,0.65,0.0,1510239355000
262.0,42.417692,-71.07936,3.11993,271.757812,5.0,6.0,0.18,0.0,1510239356000
263.0,42.417697,-71.079363,2.983547,271.757812,5.0,6.0,0.18,0.0,1510239357000
264.0,42.417698,-71.079362,-0.177677,271.757812,5.0,6.0,0.16,0.0,1510239358000
265.0,42.417698,-71.079362,0.079952,324.140625,5.0,6.0,0.0,0.0,1510239359000
266.0,42.417698,-71.079362,3.45834,271.757812,5.0,6.0,0.0,0.0,1510239360000
267.0,42.417698,-71.079362,3.356411,271.757812,5.0,6.0,0.0,0.0,1510239361000
268.0,42.417698,-71.079362,4.106167,271.757812,5.0,6.0,0.0,0.0,1510239362000
269.0,42.417698,-71.079362,4.041866,271.757812,5.0,6.0,0.0,0.0,1510239363000
270.0,42.417698,-71.079362,0.057247,271.757812,5.0,6.0,0.0,0.0,1510239364000
271.0,42.417698,-71.079362,3.945461,271.757812,5.0,6.0,0.0,0.0,1510239365000
272.0,42.417698,-71.079362,3.702145,271.757812,5.0,6.0,0.0,0.0,1510239366000
273.0,42.417698,-71.079362,3.933285,271.757812,5.0,6.0,0.0,0.0,1510239367000
274.0,42.417698,-71.079362,3.871761,271.757812,5.0,6.0,0.0,0.0,1510239368000
275.0,42.417698,-71.079362,-0.706364,271.757812,5.0,6.0,0.0,0.0,1510239369000
276.0,42.417698,-71.079362,4.195492,271.757812,5.0,6.0,0.0,0.0,1510239370000
277.0,42.417698,-71.079362,3.96896,271.757812,5.0,6.0,0.0,0.0,1510239371000
278.0,42.417698,-71.079362,-0.077763,271.757812,5.0,6.0,0.0,0.0,1510239372000
279.0,42.417698,-71.079362,4.294399,271.757812,5.0,6.0,0.0,0.0,1510239373000
280.0,42.417698,-71.079362,4.235378,271.757812,5.0,6.0,0.0,0.0,1510239374000
281.0,42.417698,-71.079362,-0.015141,271.757812,5.0,6.0,0.0,0.0,1510239375000
282.0,42.417707,-71.079356,3.774044,271.757812,5.0,6.0,0.24,0.0,1510239376000
283.0,42.417707,-71.079362,3.704464,271.757812,5.0,6.0,0.63,0.0,1510239377000
284.0,42.417712,-71.079377,2.404324,271.054688,5.0,6.0,2.16,0.0,1510239378000
