,x,y,z
3.93,-0.0027284,-0.2913268,-0.9518828
3.94,0.0006316,-0.293567,-0.9567014
3.95,0.0040652,-0.2898714,-0.951245
3.96,0.0008518,-0.2867034,-0.944101
3.97,-0.0044738,-0.2901122,-0.9480472
3.98,-0.0021578,-0.2957914,-0.9563662
3.99,0.0044218,-0.2936154,-0.9536716
4.0,0.0039428,-0.2864286,-0.9449344
4.01,-0.003174,-0.2893646,-0.9471252
4.02,-0.0041718,-0.2940308,-0.954495
4.03,0.0033416,-0.2923248,-0.9563814
4.04,0.006122,-0.288241888889,-0.948200222222
4.05,-0.0001065,-0.2886655,-0.944481
4.06,-0.0039135,-0.2927625,-0.951927
4.07,0.000519,-0.2938535,-0.955948
4.08,0.004753,-0.2894435,-0.948296
4.09,0.00148,-0.285873,-0.943787
4.1,-0.00206,-0.291046,-0.950272
4.11,0.000557,-0.2952195,-0.957436
4.12,0.0051425,-0.290985,-0.9527055
4.13,0.002045,-0.285919,-0.9428635
4.14,-0.003677,-0.289528,-0.9450225
4.15,-0.0024565,-0.2949295,-0.9541855
4.16,0.0032885,-0.29187,-0.9551165
4.17,0.0051425,-0.2870405,-0.9472505
4.18,-0.0009765,-0.286865,-0.944542
4.19,-0.0064315,-0.290825,-0.9523925
4.2,-0.002876,-0.2933655,-0.956642
4.21,0.002808,-0.2893675,-0.9485245
4.22,0.0009845,-0.2864685,-0.9443055
4.23,-0.0027465,-0.2907945,-0.9499815
4.24,-5.35e-05,-0.2959975,-0.956764
4.25,0.004379,-0.292282,-0.9517515
4.26,0.0009915,-0.285805,-0.9424285
4.27,-0.0044175,-0.288643,-0.945221
4.28,-0.002411,-0.293762,-0.9532625
4.29,0.0044095,-0.2919005,-0.95591
4.3,0.0056,-0.287285,-0.94825
4.31,-0.0025175,-0.287392,-0.942734
4.32,-0.00538622222222,-0.292641666667,-0.950804222222
4.33,0.0012606,-0.2959594,-0.9566134
4.34,0.0058136,-0.2902864,-0.949512
4.35,0.0038332,-0.2861514,-0.9458284
4.36,-0.0031372,-0.291312,-0.9509946
4.37,-0.0026066,-0.2947176,-0.9561306
4.38,0.0025052,-0.2899076,-0.9524656
4.39,0.0015866,-0.2869416,-0.9438202
4.4,-0.0010314,-0.2912934,-0.9464202
4.41,-0.00072,-0.2949278,-0.9549346
4.42,0.0025786,-0.2922118,-0.9556486
4.43,0.0030152,-0.28721,-0.9480222
4.44,-0.0020322,-0.2866974,-0.9447724
4.45,-0.0032256,-0.2933442,-0.953842
4.46,0.0019652,-0.2953248,-0.9580624
4.47,0.0055724,-0.2886872,-0.9497036
4.48,0.0017306,-0.285794,-0.9437436
4.49,-0.0041072,-0.2918734,-0.949408
4.5,-0.0008694,-0.2964328,-0.9572146
4.51,0.0051788,-0.291507,-0.9531222
4.52,0.003021,-0.2874814,-0.9457584
4.53,-0.0028412,-0.289877,-0.9464542
4.54,-0.0041872,-0.2924012,-0.953574
4.55,0.0008632,-0.2904906,-0.9550476
4.56,0.0031094,-0.2874054,-0.9464326
4.57,-6.4e-05,-0.288556,-0.9441406
4.58,-0.002368,-0.2925784,-0.9509856
4.59,0.0010742,-0.2954928,-0.9587066
